m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.01,0.015092839361587698,91.2,0.7942171390459705,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.01651494360366395,91.2,0.6633259143082962,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.018071043870403283,91.2,0.5540062622187625,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.01977376577256911,91.2,0.4627030724371127,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.02163692455358423,91.2,0.3864471357874341,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.023675637181205963,91.2,0.3227585846182373,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.025906445000902348,91.2,0.2695662467066853,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.02834744794609123,91.2,0.22514029006999062,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.03101845139417473,91.2,0.18803596827147803,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.0339411268599031,91.2,0.15704663680054945,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.03713918782987275,91.2,0.1311645126040753,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.04063858216481469,91.2,0.10954790065650338,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.04446770263075118,91.2,0.09149382176619525,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.04865761726719257,91.2,0.07641515146540948,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.05324232146149455,91.2,0.06382152653326938,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.05825901377461091,91.2,0.05330339822568587,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.06374839775619046,91.2,0.044518713618122714,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.06975501219782895,91.2,0.037181791934184374,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.07632759250402892,91.2,0.031054034114638036,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.08351946611289428,91.2,0.025936163499061693,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.0913889851748525,91.2,0.021661745284583728,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.1,91.2,0.01809177401241934,0.0004385964859548553,0.025129727554482097,False,merged
0.010514895768547274,1e-08,91.2,1479998467616.7825,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.0942237711543928e-08,91.2,1236086818632.5505,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.1973256613593385e-08,91.2,1032373111613.7682,0.00046117963284094944,0.0264236465591793,False,invisible
0.010514895768547274,1.3101422004725428e-08,91.2,862232511112.8915,0.00046117963284094944,0.0264236465591793,False,invisible
