m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.01,0.0001397176899875119,91.2,9267.836445600922,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00015288241763511528,91.2,7740.447519582146,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0001672875755678967,91.2,6464.780443103762,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.000183050041805179,91.2,5399.350111451075,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00020029770705403224,91.2,4509.50838664989,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00021917051236624096,91.2,3766.3173288461726,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00023982158456722815,91.2,3145.608125169751,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00026241847866937453,91.2,2627.1951121455936,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.000287144537350201,91.2,2194.219331408058,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0003142003785257203,91.2,1832.6002709379252,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00034380552308855135,91.2,1530.577962270806,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00037620017601766256,91.2,1278.3305425301962,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00041164717531099306,91.2,1067.6548442792825,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0004504341245538483,91.2,891.6996258705078,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0004928757264259383,91.2,744.7427668577254,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0005393163360802511,91.2,622.0051827939678,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0005901327551109009,91.2,519.4954078640553,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0006457372887791818,91.2,433.8797911290606,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0007065810913029695,91.2,362.3740851227315,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00077315782635192,91.2,302.652901225991,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.000846007672448331,91.2,252.77408727913246,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0009257217057719612,91.2,211.1155681672733,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0010129466959292726,91.2,176.32259541450966,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0011083903535981105,91.2,147.2636903265968,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.001212827072625273,91.2,122.99384793891977,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0013271042131661687,91.2,102.72380515029067,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0014521489768455655,91.2,85.79437363237271,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0015889759297219475,91.2,71.65500281265929,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0017386952340939068,91.2,59.845875792312306,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0019025216559384005,91.2,49.98295595232518,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0020817844210638168,91.2,41.74549795882501,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0022779379999469094,91.2,34.8656170213799,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.002492573908757802,91.2,29.119577193222824,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0027274336223220073,91.2,24.320515406111777,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0029844227037904665,91.2,20.312364623088804,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0032656262656603936,91.2,16.964778488108145,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0035733258875917527,91.2,14.16889242050303,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.003910018128284258,91.2,11.833783303714496,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.0042784347816132405,91.2,9.883512636219152,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.004681565041374952,91.2,8.254656986970694,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.005122679754477871,91.2,6.894245444968633,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.005605357959361034,91.2,5.758036988150324,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00613351592496231,91.2,4.809081751086139,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.006711438925847782,91.2,4.016519403439762,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.007343816011313532,91.2,3.3545755620737023,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.008035778050563503,91.2,2.8017235997975733,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.008792939362647292,91.2,2.3399845925098908,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.009621443268927802,91.2,1.9543426387882497,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.010528011937674229,91.2,1.6322565379325926,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.011520000925200337,91.2,1.3632519460741157,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.012605458856074806,91.2,1.1385807471347404,0.0004385964859548553,0.025129727554482097,False,merged
0.01,0.013793192726625712,91.2,0.9509365612711362,0.0004385964859548553,0.025129727554482097,False,merged
