channel,observable,bin_low_GeV,bin_high_GeV,raw_entries,bkg_events,source_root
resolved_prompt,mgg_GeV,18.240000000000002,18.62,166,18192687.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,18.62,19.0,155,16987147.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,19.0,19.38,177,19398226.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,19.38,19.76,160,17535120.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,19.76,20.14,169,18521470.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,20.14,20.52,148,16219986.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,20.52,20.9,130,14247285.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,20.9,21.28,150,16439175.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,21.28,21.66,147,16110391.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,21.66,22.04,137,15014446.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,22.04,22.42,148,16219986.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,22.42,22.8,158,17315931.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,22.8,23.18,127,13918501.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,23.18,23.56,140,15343230.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,23.56,23.94,150,16439175.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,23.94,24.32,152,16658364.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,24.32,24.7,154,16877553.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,24.7,25.080000000000002,130,14247285.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,25.080000000000002,25.46,119,13041745.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,25.46,25.84,134,14685663.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,25.84,26.22,122,13370529.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,26.22,26.6,118,12932151.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,26.6,26.98,127,13918501.5,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,26.98,27.36,124,13589718.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,27.36,27.740000000000002,126,13808907.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,27.740000000000002,28.12,128,14028096.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
resolved_prompt,mgg_GeV,28.12,28.5,104,11397828.0,results/backgrounds/fccee_z_backgrounds/cluster_4796877/job0_resolved_3gamma/resolved_3gamma_delphes.root
