m_a_GeV,published_g_agg_GeV_inv,closure_g_agg_GeV_inv,three_event_prompt_g_agg_GeV_inv,effective_signal_events,prompt_probability_at_closure,invisible_probability_at_closure,sigma_pb_at_closure,recoil_energy_GeV,delta_theta_min_deg,resolved_pass,recoil_energy_pass,log10_ratio_closure_to_published
0.4509206804988808,0.0012591713534057577,0.0012591682496055133,0.00017676979351651637,152.2203352084744,1.0,0.0,0.3733840355900524,5.280390857273083,9.7500971079007,True,True,-1.0705175087928427e-06
0.4568306855698243,0.001359291139799558,0.0013592925655751228,0.00017678252556885415,177.3652232084384,1.0,0.0,0.4350623898193547,5.280137321584207,9.877414500499029,True,True,4.555360638185909e-07
0.4628181502948692,0.001451452723215095,0.0014514336536433205,0.00017679559514381928,202.1960890247277,1.0,0.0,0.49597047354382084,5.279877096396864,10.006381805191818,True,True,-5.705913851873516e-06
0.4688840899012346,0.0014935349011201845,0.001493552079054016,0.00017680901123217282,214.06871666326649,1.0,0.0,0.5250930578500914,5.279610005209712,10.137019901772842,True,True,4.995021519686215e-06
0.4750295329222448,0.0014918402537377818,0.0014919350501983468,0.0001768227830664764,213.572162657707,1.0,0.0,0.523875051456269,5.279335866864447,10.269349914240037,True,True,2.7595630064276695e-05
0.48125552137172645,0.0014853231571465603,0.0014853970892978457,0.0001768369201277197,211.67058362423933,1.0,0.0,0.5192106335313832,5.2790544954229315,10.403393212836988,True,True,2.1616525745602745e-05
0.48756311092069043,0.0013434292506417376,0.0013434292512734044,0.00017685143215213561,173.11459854067047,1.0,0.0,0.42463595507227175,5.278765700041085,10.539171416076016,True,True,2.0420087333374474e-10
0.4939533710763309,0.0011400482325559054,0.0011400481842737994,0.00017686632913820963,124.64571263616361,1.0,0.0,0.30574574112739483,5.27846928483943,10.676706392740764,True,True,-1.8392776742698346e-08
0.5004273853633692,0.0010136211711778787,0.0010136211112772183,0.00017688162135388852,98.51608126716724,1.0,0.0,0.24165189193556458,5.278165048770245,10.816020263866324,True,True,-2.5664940499560957e-08
0.506986251507775,0.0008984199914342874,0.0008984186328504596,0.00017689731934399542,77.38134101943443,1.0,0.0,0.18981010236466675,5.277852785481196,10.95713540469466,True,True,-6.567372847261289e-07
0.5136310816228955,0.0008286219682316755,0.0008286175452447803,0.00017691343393789693,65.81242289802914,1.0,0.0,0.16143249205146026,5.277532283175374,11.100074446603081,True,True,-2.3181667905710287e-06
0.5203630023980241,0.0007927774720192494,0.0007928160832114212,0.00017692997625724108,60.23699796149099,1.0,0.0,0.14775643057035873,5.277203324467642,11.244860279003467,True,True,2.1151230903946996e-05
0.5271831552894402,0.0007934502662781075,0.0007935267988343843,0.00017694695772408605,60.33346263905831,1.0,0.0,0.14799305053674675,5.276865686237197,11.391516051209642,True,True,4.1888024261225444e-05
0.5340926967139532,0.0007950999958551132,0.0007951638323988484,0.00017696439006925914,60.57071829988835,1.0,0.0,0.14857501927304223,5.27651913947622,11.540065174270463,True,True,3.4866992772318293e-05
0.5410927982449832,0.0008024186331592426,0.0008024083667936122,0.00017698228534084775,61.66696207388601,1.0,0.0,0.15126401561374114,5.2761634491345655,11.690531322765821,True,True,-5.556519104777339e-06
0.5481846468112122,0.0009390611890960662,0.000939058886058011,0.0001770006559129917,84.44173665056896,1.0,0.0,0.20712867542147978,5.275798373960325,11.842938436562811,True,True,-1.0651041242995438e-06
0.5553694448978364,0.0010125028159904427,0.0010125020552159054,0.0001770195144949282,98.1455902024867,1.0,0.0,0.24074310764755535,5.275423666336194,11.99731072252907,True,True,-3.2632038393646707e-07
0.5626484107504602,0.0011267679771912193,0.0011267585652916347,0.00017703887414029972,121.51942694495258,1.0,0.0,0.29807721795494513,5.275039072111531,12.153672656200307,True,True,-3.62767952961495e-06
0.5700227785816598,0.0011731823274268784,0.0011731820619661321,0.0001770587482567315,131.70956138604458,1.0,0.0,0.32307278451790694,5.274644330429965,12.312048983398771,True,True,-9.82695933987438e-08
0.577493798780254,0.0012234616228551287,0.0012234611476733663,0.00017707915061568894,143.2078284257746,1.0,0.0,0.3512770933821118,5.274239173552474,12.47246472179931,True,True,-1.6867620002207511e-07
0.5850627381233192,0.0012879956579724676,0.0012879719013560395,0.00017710009536262296,158.67059181283466,1.0,0.0,0.38920598761918035,5.273823326675787,12.63494516243964,True,True,-8.010479313988501e-06
